"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 08:54:22 GMT 2025","Tue Sep 09 08:54:23 GMT 2025","1274","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 09 08:54:27 GMT 2025","Tue Sep 09 08:54:30 GMT 2025","3263","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 09 08:54:18 GMT 2025","Tue Sep 09 08:54:20 GMT 2025","2048","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 09 08:54:22 GMT 2025","Tue Sep 09 08:54:23 GMT 2025","1446","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 09 08:54:23 GMT 2025","Tue Sep 09 08:54:25 GMT 2025","1593","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 09 08:54:18 GMT 2025","Tue Sep 09 08:54:21 GMT 2025","3351","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 09 08:54:25 GMT 2025","Tue Sep 09 08:54:27 GMT 2025","1412","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 09 08:54:20 GMT 2025","Tue Sep 09 08:54:22 GMT 2025","1601","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 09 08:54:30 GMT 2025","Tue Sep 09 08:54:32 GMT 2025","1523","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 09 08:54:26 GMT 2025","Tue Sep 09 08:54:29 GMT 2025","2936","LMS system","Courses","Courses","","","Create course",""
